1;2;3;4;6;7;8;9;10;11;12;13;14
SEN;2001;24/11/2001;17:00;25/11/2001;13:00;NOT;0;0;NOT;*;*;*
WNE;2001;30/12/2001;04:00;30/12/2001;16:00;156º, 58º;2;2;(+BA -BT);19.049;16.981;171.46º
SWN;2002;28/02/2002;20:00;01/03/2002;10:00;308º, -33º;1;2;(+BA -BT);;;
NES;2002;19/03/2002;23:00;20/03/2002;10:00;NOT;0;0;NOT;*;*;*
SWN;2002;24/03/2002;12:00;25/03/2002;04:00;279º , 12º;2;1;(-BA +BT);3.451;7.263;90.02º
NOT;2002;12/04/2002;01:00;13/04/2002;13:00;NOT;0;0;NOT;*;*;*
SWN;2002;18/04/2002;00:00;19/04/2002;01:00;355º, -29º;2;2;(+BA +BT);2.156;5.299;93.67º
SEN;2002;20/04/2002;13:00;21/04/2002;07:00;158º, -34º;1;2;(-BA +BT);4.416;9.718;93.81º
NOT;2002;11/05/2002;15:00;12/05/2002;00:00;NOT;0;0;NOT;*;*;*
SEN;2002;19/05/2002;03:00;20/05/2002;20:00;NOT;0;0;NOT;*;*;*
NOT;2002;23/05/2002;23:00;24/05/2002;11:00;NOT;0;0;NOT;*;*;*
ENW;2002;18/07/2002;12:00;19/07/2002;09:00;107º, 72º;0;1;(-BA -BT);2.992;6.514;116.32º
NWS;2002;01/08/2002;15:00;01/08/2002;23:00;239º, -26º;1;2;(-BA -BT);3.914;7.518;100.09ª
NWS;2002;02/08/2002;06:00;02/08/2002;22:00;NOT;0;0;NOT;*;*;*
WSE;2002;20/08/2002;14:00;21/08/2002;07:00;254º, -56º;0;2;(+BA +BT);4.683;10.355;129.65º
NWS;2002;29/08/2002;21:00;30/08/2002;05:00;270º, 10º;1;1;(+BA +BT);4.669;10.240;117.58º
NOT;2002;07/09/2002;12:00;08/09/2002;04:00;NOT;0;0;NOT;*;*;*
NES;2002;09/09/2002;05:00;10/09/2002;10:00;39º, 37º;1;1;(-BA +BT);2.973;7.372;99.38º
NES;2002;30/09/2002;23:00;01/10/2002;15:00;129º, 21º;1;1;(+BA +BT);5.479;11.459;162.11º
NES;2002;03/10/2002;08:00;04/10/2002;08:00;70º, 10º;2;2;(+BA +BT);3.593;7.897;141.92º
NWS;2002;17/11/2002;09:00;18/11/2002;07:00;239º, -31º;1;2;(+BA +BT);2.356;6.145;103.54º
WNE;2003;27/01/2003;02:00;27/01/2003;15:00;NOT;0;0;NOT;*;*;*
WSE;2003;20/03/2003;13:00;20/03/2003;22:00;279º, -86º;1;1;NOT;6.871;12.460;105.07º
NES;2003;09/05/2003;14:00;10/05/2003;04:00;51º, -38º;1;2;(-BA +BT);5.158;11.041;176.22º
NOT;2003;29/05/2003;13:00;29/05/2003;18:00;NOT;0;0;NOT;;;
NWS;2003;30/05/2003;02:00;30/05/2003;16:00;214º, 29º;2;1;(-BA +BT);2.066;5.266;102.48º
SWN;2003;15/06/2003;20:00;16/06/2003;05:00;213º, 23º;1;2;(+BA +BT);4.915;10.801;96.05º
NWS;2003;17/06/2003;17:00;18/06/2003;03:00;266º, 28º;2;2;(+BA +BT);2.839;7.441;108.13º
